Dataset,Method,Method_ID,Mean_Accuracy,Std_Accuracy,Mean_Time_s,Paper_Accuracy,Delta_vs_Paper,K_Used,N_Train
GunPoint,A: ROCKET+Ridge (baseline),A,1.0,0.0,1.808,1.0,0.0,,50
GunPoint,B: ROCKET+RF (head ablation),B,0.9847,0.0052,0.244,1.0,,,50
GunPoint,C: ROCKET+XGBoost (head ablation),C,0.98,0.0099,1.364,1.0,,,50
GunPoint,D: MiniROCKET (efficiency),D,0.9933,0.0,0.172,1.0,,,50
GunPoint,E: ROCKET ppv-only (feature ablation),E,1.0,0.0,0.046,1.0,,,50
GunPoint,F: ROCKET max-only (feature ablation),F,1.0,0.0,0.02,1.0,,,50
GunPoint,G: ROCKET ppp-only (novel pooling),G,0.996,0.0044,0.012,1.0,,,50
GunPoint,H: ROCKET pam-only (novel pooling),H,0.9873,0.002,0.012,1.0,,,50
GunPoint,I: ROCKET all-features (novel pooling),I,0.9927,0.002,0.06,1.0,,,50
GunPoint,J: ROCKET adaptive-k (efficiency),J,1.0,0.0,0.015,1.0,,2500.0,50
ItalyPowerDemand,A: ROCKET+Ridge (baseline),A,0.9691,0.0007,0.327,0.9691,-0.0,,67
ItalyPowerDemand,B: ROCKET+RF (head ablation),B,0.9582,0.0022,0.217,0.9691,,,67
ItalyPowerDemand,C: ROCKET+XGBoost (head ablation),C,0.9651,0.0026,1.823,0.9691,,,67
ItalyPowerDemand,D: MiniROCKET (efficiency),D,0.9656,0.0012,0.172,0.9691,,,67
ItalyPowerDemand,E: ROCKET ppv-only (feature ablation),E,0.965,0.0015,0.03,0.9691,,,67
ItalyPowerDemand,F: ROCKET max-only (feature ablation),F,0.9697,0.0008,0.053,0.9691,,,67
ItalyPowerDemand,G: ROCKET ppp-only (novel pooling),G,0.9685,0.0015,0.02,0.9691,,,67
ItalyPowerDemand,H: ROCKET pam-only (novel pooling),H,0.9667,0.0014,0.019,0.9691,,,67
ItalyPowerDemand,I: ROCKET all-features (novel pooling),I,0.969,0.001,0.057,0.9691,,,67
ItalyPowerDemand,J: ROCKET adaptive-k (efficiency),J,0.969,0.0013,0.024,0.9691,,3350.0,67
Coffee,A: ROCKET+Ridge (baseline),A,1.0,0.0,1.327,1.0,0.0,,28
Coffee,B: ROCKET+RF (head ablation),B,1.0,0.0,0.221,1.0,,,28
Coffee,C: ROCKET+XGBoost (head ablation),C,0.9964,0.0107,0.793,1.0,,,28
Coffee,D: MiniROCKET (efficiency),D,1.0,0.0,0.224,1.0,,,28
Coffee,E: ROCKET ppv-only (feature ablation),E,1.0,0.0,0.012,1.0,,,28
Coffee,F: ROCKET max-only (feature ablation),F,1.0,0.0,0.009,1.0,,,28
